title,brand,manufacturer,description,images,price,time,asin,stars,ratings_quantity,is_empty,id,category,method,is_valid
True,True,False,True,True,True,6.536769866943359,B0CM8MM85L,True,True,False,217,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,9.522011280059814,B0BCPJ9BQF,True,True,False,218,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,8.374337911605835,B00JUM4CT4,True,True,False,219,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,8.299728155136108,B09P1GB319,True,True,False,220,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,12.499379873275757,B09JFV7HHY,True,True,False,221,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,7.103388786315918,B076CBMZGK,True,True,False,222,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,9.342149019241333,B004QF0TFQ,True,True,False,223,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,11.194236993789673,B0D4F6MNQW,True,True,False,224,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,7.479888916015625,B000C4UATA,True,True,False,225,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,7.115412950515747,B08YHBW4J5,True,True,False,226,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,9.093195915222168,B07JCS8NRC,True,True,False,227,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,12.732209920883179,B0C3QS2K65,True,True,False,228,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,8.48884105682373,B07MKKQ8QP,True,True,False,229,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,27.993002891540527,B07GVDVLCD,True,True,False,230,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,7.3672990798950195,B01LXJZAOR,True,True,False,231,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,6.943265914916992,B09JVQQ99K,True,True,False,232,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,11.833712816238403,B0BB7SP83Z,True,True,False,233,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,9.352070093154907,B09HC6P2BT,True,True,False,234,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,7.902573108673096,B0D77K99ZR,True,True,False,235,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,7.738266229629517,B0BFL5MKKC,True,True,False,236,clothing_shoes_jewelry,RAINFOREST,False
